    RA(°)      Dec      Pos      Distance(kpc)  
      5.25199     -72.9181      -89.119697       2.2001079
      6.04248     -73.0772      -92.893452       1.9515608
      6.14968     -72.9328      -88.518308       1.9342672
      6.30880     -73.0594      -92.205285       1.8745087
      7.54572     -72.7588      -80.199395       1.5594246
      7.77589     -72.7650      -79.764802       1.4911973
      8.02317     -72.3665      -64.738663       1.5755973
      8.07685     -72.6289      -73.575083       1.4472669
      8.24305     -71.9846      -52.538572       1.7464985
      8.34361     -72.1162      -55.289792       1.6366245
      8.43415     -72.9155      -84.185696       1.2667268
      8.43728     -73.3315      -103.31102       1.2634449
      9.11234     -73.1211      -93.601665       1.0490295
      9.18163     -71.9950      -45.576955       1.5304584
      9.42677     -73.0193      -87.491397      0.96137970
      9.57672     -72.2107      -48.090225       1.2880555
      9.70116     -72.6470      -64.836219      0.99250078
      9.73386     -72.2906      -49.199744       1.1970483
      9.97078     -72.5375      -56.878146      0.98166038
      10.0527     -71.8405      -33.715671       1.4920172
      10.2672     -72.2829      -42.970207       1.0896391
      10.3602     -72.4195      -47.021708      0.96881357
      10.4219     -71.5989      -25.830299       1.6551214
      10.4544     -70.5504      -16.395981       2.6568191
      10.5187     -72.9215      -76.399107      0.66067754
      10.6207     -72.0131      -30.932631       1.2517714
      10.7321     -71.0540      -17.392555       2.1413462
      10.7375     -72.6368      -52.808122      0.73635677
      10.9101     -71.8454      -24.131784       1.3653079
      10.9185     -73.3099      -114.46319      0.56252131
      10.9519     -70.2371      -11.645650       2.9310716
      11.0028     -72.5901      -45.754903      0.70909559
      11.0198     -73.5507      -134.96341      0.67257372
      11.0869     -71.0295      -14.204625       2.1369888
      11.2246     -70.8894      -12.295031       2.2663231
      11.2374     -73.4472      -131.57467      0.55629399
      11.2773     -70.6647      -10.905671       2.4866307
      11.3015     -70.1297      -9.0441475       3.0198148
      11.3503     -73.0084      -79.239474      0.40060281
      11.3603     -70.7079      -10.434315       2.4390899
      11.3610     -72.7689      -51.319213      0.50692172
      11.6323     -70.4684      -7.6544387       2.6661626
      11.6555     -69.8940      -6.3233268       3.2425767
      11.7368     -75.1777      -173.39943       2.1286685
      11.7937     -69.8319      -5.3892670       3.3009618
      11.8282     -71.0910      -7.9134941       2.0338537
      11.9298     -72.8172      -39.690752      0.35218125
      11.9776     -71.7959      -9.7010560       1.3219123
      12.0410     -70.9278      -5.5567011       2.1905539
      12.0678     -73.6949      -164.15888      0.63957942
      12.1479     -74.0339      -171.16722      0.96903913
      12.2140     -71.3845      -5.0313803       1.7259825
      12.3158     -73.6481      -169.56133      0.57694656
