    RA(°)      Dec      Pos      Distance(kpc)  
     0.828670     -72.5086      -86.332473       3.5839967
     0.899500     -73.1759      -97.126718       3.4504570
      1.32846     -72.9793      -93.579769       3.3446679
      1.40017     -73.1562      -96.609369       3.3057931
      1.40946     -73.0463      -94.690352       3.3130273
      1.55742     -72.6714      -88.112014       3.3308706
      1.63621     -73.1701      -96.770805       3.2359036
      1.94700     -72.9372      -92.413622       3.1686994
      2.16408     -72.3466      -81.735596       3.2403609
      2.16879     -72.8873      -91.328166       3.1108209
      2.21342     -73.1058      -95.365911       3.0719785
      2.25067     -72.7776      -89.237677       3.1054863
      2.29825     -73.1260      -95.712327       3.0455747
      2.36104     -72.2182      -79.208953       3.2265234
      2.36550     -72.3338      -81.166877       3.1859246
      2.41225     -72.5750      -85.352235       3.1026958
      2.43896     -73.1601      -96.310832       3.0021231
      2.60763     -72.0482      -75.866225       3.2206536
      2.73508     -72.3737      -81.210260       3.0657769
      2.76683     -72.9255      -91.565840       2.9294911
      2.82946     -72.8537      -90.105011       2.9219621
      2.86437     -71.8732      -72.411158       3.2237686
      2.93662     -73.5383      -103.81214       2.8610160
      2.94733     -72.0122      -74.482776       3.1390990
      2.97304     -72.9228      -91.345521       2.8692739
      2.97604     -72.1127      -76.123925       3.0896674
      2.98404     -73.0508      -93.911080       2.8510573
      3.02758     -72.5888      -84.722522       2.9190247
      3.06829     -73.6113      -105.36138       2.8303832
      3.09533     -72.5057      -83.027084       2.9213989
      3.09692     -72.7724      -88.222031       2.8578002
      3.16204     -72.2140      -77.494437       2.9974678
      3.16525     -72.8786      -90.287827       2.8192850
      3.17496     -73.1294      -95.431966       2.7888553
      3.17858     -72.5667      -84.065449       2.8805437
      3.21787     -73.1757      -96.380124       2.7737190
      3.24325     -73.1307      -95.432918       2.7687888
      3.25358     -72.9318      -91.296898       2.7856038
      3.27946     -72.8025      -88.624270       2.7985310
      3.29358     -72.9356      -91.343923       2.7733280
      3.29904     -72.1035      -75.213976       3.0013459
      3.30271     -73.3069      -99.120282       2.7460622
      3.35917     -73.2654      -98.240294       2.7298567
      3.56379     -72.6013      -84.147758       2.7589894
      3.57142     -73.1500      -95.726436       2.6716609
      3.58079     -72.0695      -73.913107       2.9356606
      3.58188     -73.0480      -93.516810       2.6759570
      3.58996     -73.1934      -96.662192       2.6643167
      3.63125     -72.2993      -78.054065       2.8316388
      3.63550     -72.4171      -80.332411       2.7907923
      3.64767     -71.7473      -68.216106       3.0679647
      3.65942     -73.1730      -96.198846       2.6448364
      3.73458     -72.2730      -77.319826       2.8114410
      3.76037     -73.0537      -93.541399       2.6230737
      3.79354     -72.1362      -74.591505       2.8476832
      3.81292     -72.2352      -76.411798       2.8031306
      3.82617     -73.4999      -103.44005       2.6037103
      3.82717     -72.9673      -91.594179       2.6124930
      3.87442     -72.5681      -82.951501       2.6769469
      3.90621     -73.3170      -99.377775       2.5710715
      3.92404     -73.2713      -98.348828       2.5655156
      3.94829     -73.1481      -95.561084       2.5615206
      3.98900     -72.6810      -85.160751       2.6152448
      4.01758     -72.1895      -75.033497       2.7626002
      4.04033     -73.0368      -92.999908       2.5424453
      4.07008     -72.2794      -76.663249       2.7130042
      4.07350     -73.4648      -102.78189       2.5299702
      4.12038     -72.7508      -86.497724       2.5615608
      4.12167     -72.2948      -76.846117       2.6925784
      4.20292     -72.5669      -82.343183       2.5815010
      4.21208     -73.0655      -93.559144       2.4895631
      4.21396     -72.5419      -81.784548       2.5852579
      4.25733     -73.0230      -92.545270       2.4800477
      4.26642     -72.5066      -80.923260       2.5802925
      4.28533     -72.0882      -72.371408       2.7294093
      4.29271     -72.0006      -70.697690       2.7668112
      4.33079     -72.8653      -88.827048       2.4788095
      4.33642     -72.8875      -89.333450       2.4736860
      4.35213     -72.9661      -91.149578       2.4583681
      4.40450     -72.0453      -71.208964       2.7152285
      4.41183     -72.6891      -84.689401       2.4895700
      4.43363     -73.3159      -99.428898       2.4180994
      4.48792     -72.3023      -76.104090       2.5850995
      4.50437     -73.4801      -103.39252       2.4079663
      4.51050     -73.1062      -94.378318       2.3991855
      4.52983     -73.4552      -102.81034       2.3983594
      4.52987     -71.8966      -68.043617       2.7517270
      4.63825     -72.4499      -78.904580       2.4903108
      4.66883     -71.9444      -68.477204       2.6900669
      4.67217     -73.3601      -100.56631       2.3507682
      4.71012     -72.2422      -74.263796       2.5452569
      4.75775     -72.1329      -71.880137       2.5776656
      4.77642     -72.9791      -91.113233       2.3321658
      4.80804     -73.6128      -106.87570       2.3391381
      4.84363     -73.1440      -95.188061       2.2996859
      4.86083     -72.9438      -90.166216       2.3116254
      4.88904     -72.7310      -84.908973       2.3404549
      4.89700     -72.0751      -70.284161       2.5649560
      4.99038     -71.7232      -63.318378       2.7208961
      5.00829     -73.2716      -98.422689       2.2502108
      5.01837     -72.2999      -74.645547       2.4351730
      5.02550     -72.5245      -79.727830       2.3549477
      5.03583     -72.9765      -90.832301       2.2562212
      5.05221     -73.4791      -103.77192       2.2513223
      5.07479     -71.9412      -67.048347       2.5811677
      5.22675     -72.6256      -81.729211       2.2675352
      5.23175     -72.9666      -90.405974       2.1997827
      5.24367     -72.5459      -79.748213       2.2853310
      5.24558     -73.0082      -91.485982       2.1911932
      5.25192     -72.9181      -89.119373       2.2001302
      5.27058     -73.4425      -102.99817       2.1849023
      5.32567     -72.4281      -76.731215       2.3001457
      5.33138     -72.9712      -90.437809       2.1699576
      5.33696     -73.2120      -96.875889       2.1539730
      5.34304     -73.1234      -94.492657       2.1542948
      5.35208     -73.3831      -101.47506       2.1560702
      5.37792     -73.5572      -106.12889       2.1695136
      5.43804     -72.4591      -77.175145       2.2572634
      5.48754     -72.5480      -79.233399       2.2142151
      5.53375     -72.5674      -79.610981       2.1949859
      5.56946     -72.0656      -67.809336       2.3848535
      5.60000     -73.1129      -94.115394       2.0794543
      5.61392     -73.2451      -97.800518       2.0734823
      5.61800     -73.1507      -95.163817       2.0727603
      5.75158     -72.7857      -84.904087       2.0762858
      5.85808     -72.3700      -73.801487       2.1702897
      5.91887     -73.4262      -103.10697       1.9974640
      5.96758     -72.4094      -74.442998       2.1242206
      5.98883     -73.2742      -98.723882       1.9652766
      6.01037     -72.5795      -78.759818       2.0537303
      6.04237     -73.0772      -92.893055       1.9515928
      6.08179     -73.1111      -93.882177       1.9382660
      6.10463     -72.4308      -74.567350       2.0773349
      6.12229     -73.0770      -92.843571       1.9281462
      6.13717     -72.9805      -89.948337       1.9320572
      6.14871     -72.7730      -83.842322       1.9628049
      6.14963     -72.9328      -88.518817       1.9342792
      6.18521     -72.3123      -71.284013       2.1020966
      6.22946     -73.0027      -90.530929       1.9025906
      6.30879     -73.0594      -92.204819       1.8745118
      6.38563     -72.7150      -81.669039       1.9072568
      6.42938     -73.0318      -91.264693       1.8411752
      6.43583     -73.3218      -100.40094       1.8385164
      6.45850     -72.8036      -84.167325       1.8657573
      6.46683     -73.3342      -100.81269       1.8305708
      6.46896     -72.6657      -80.021985       1.8960869
      6.48383     -73.0496      -91.785908       1.8237878
      6.49017     -72.3291      -70.605647       2.0101607
      6.49167     -72.4619      -74.155462       1.9561435
      6.50346     -72.5069      -75.365062       1.9364065
      6.52517     -72.6146      -78.379045       1.8947084
      6.53625     -72.6349      -78.944212       1.8854316
      6.63392     -72.7646      -82.618855       1.8230521
      6.64238     -72.7291      -81.506249       1.8290961
      6.76996     -72.7628      -82.265398       1.7838297
      6.81654     -72.4672      -73.188747       1.8624811
      6.88242     -73.0180      -90.447187       1.7092162
      6.89987     -72.5204      -74.449825       1.8190546
      6.91146     -72.3628      -69.874544       1.8789879
      6.96067     -72.3838      -70.264364       1.8562802
      6.96621     -73.0971      -93.090573       1.6793753
      7.07321     -72.4811      -72.652586       1.7850037
      7.12321     -73.0271      -90.552478       1.6376480
      7.13825     -72.6588      -77.975026       1.7049492
      7.15604     -72.9680      -88.434926       1.6340476
      7.26687     -72.7586      -80.938230       1.6403450
      7.32867     -73.1234      -93.909323       1.5721937
      7.43404     -72.7151      -78.976818       1.6034334
      7.47075     -71.9795      -57.217762       1.9355890
      7.54571     -72.7588      -80.199687       1.5594246
      7.56404     -73.1027      -93.059808       1.5036946
      7.56779     -73.2318      -98.032371       1.5040750
      7.60637     -73.3894      -104.09960       1.5101140
      7.61771     -72.5564      -72.912321       1.6032103
      7.62158     -73.4676      -107.06814       1.5205291
      7.64346     -72.4842      -70.420827       1.6247330
      7.66008     -73.1853      -96.268933       1.4752717
      7.66142     -73.0976      -92.826059       1.4752794
      7.66404     -73.0146      -89.576658       1.4797816
      7.67204     -71.8447      -52.962678       1.9742953
      7.73050     -72.2678      -63.334336       1.7036260
      7.73171     -72.7975      -81.108515       1.4959197
      7.77579     -72.7650      -79.764800       1.4912270
      7.77888     -72.7822      -80.401033       1.4859640
      7.79700     -71.9452      -54.477825       1.8780316
      7.80196     -73.5585      -110.93612       1.4929582
      7.80837     -73.3986      -104.83510       1.4541911
      7.81083     -72.7125      -77.694552       1.4957170
      7.81442     -72.9101      -85.259082       1.4490297
      7.83938     -73.4424      -106.61229       1.4539042
      7.85708     -72.5476      -71.601907       1.5395937
      7.86217     -72.0956      -57.820393       1.7675157
      7.86271     -72.8208      -81.650352       1.4524300
      7.87113     -72.3868      -66.197110       1.6063089
      7.88654     -72.8387      -82.285840       1.4415500
      7.89400     -73.3172      -101.73963       1.4173014
      7.89479     -72.1919      -60.241386       1.7026896
      7.89663     -71.9235      -53.346683       1.8686617
      7.90896     -73.0962      -92.671378       1.4026496
      7.92133     -72.2843      -62.767283       1.6449072
      8.00421     -72.8938      -84.214313       1.3963031
      8.02317     -72.3665      -64.738176       1.5756050
      8.02317     -73.2081      -97.359388       1.3701680
      8.03158     -72.8308      -81.592190       1.4010752
      8.05321     -72.5420      -70.508533       1.4873264
      8.07675     -72.6290      -73.576083       1.4472900
      8.07779     -73.1701      -95.766498       1.3527877
      8.10646     -72.4094      -65.677806       1.5321919
      8.12200     -72.0947      -56.175420       1.7040085
      8.15200     -72.2979      -61.839935       1.5775652
      8.15942     -72.4736      -67.568873       1.4877633
      8.17783     -72.9087      -84.457721       1.3428897
      8.21908     -73.0941      -92.457369       1.3116530
      8.24304     -71.9847      -52.539047       1.7464916
      8.24821     -73.2574      -99.687945       1.3083561
      8.26792     -73.0417      -90.103898       1.3000396
      8.29150     -72.7841      -78.886046       1.3372477
      8.30213     -72.8303      -80.801164       1.3225980
      8.34354     -72.1162      -55.289820       1.6366501
      8.35150     -73.3337      -103.22859       1.2883284
      8.37646     -73.4617      -108.88219       1.3080136
      8.37671     -72.6584      -73.401316       1.3522149
      8.38550     -71.9296      -50.209794       1.7515515
      8.43404     -72.9155      -84.185608       1.2667604
      8.43721     -73.3315      -103.31018       1.2634623
      8.49546     -73.4437      -108.48583       1.2702992
      8.50525     -73.3669      -105.07087       1.2503683
      8.51192     -73.6222      -116.12515       1.3225752
      8.55200     -72.3886      -62.320856       1.4250382
      8.56625     -73.6194      -116.26743       1.3071874
      8.56925     -72.9579      -85.847834       1.2204696
      8.57833     -72.6022      -70.155685       1.3174104
      8.60571     -72.3959      -62.226731       1.4071888
      8.61221     -72.6519      -72.020004       1.2884819
      8.64067     -72.6349      -71.164972       1.2870864
      8.65188     -73.0404      -89.664768       1.1872754
      8.66275     -72.5919      -69.284056       1.2983745
      8.68754     -72.5624      -67.956750       1.3042761
      8.68871     -72.2400      -56.488310       1.4755174
      8.69633     -71.7437      -43.799723       1.8220771
      8.70963     -73.0518      -90.168503       1.1695123
      8.78433     -72.8563      -80.454897       1.1766899
      8.80650     -72.9327      -84.110061       1.1549164
      8.81808     -73.1648      -95.827300       1.1361361
      8.82379     -71.9225      -46.751966       1.6602143
      8.84287     -72.4211      -61.529608       1.3322554
      8.86746     -71.7670      -42.949176       1.7694057
      8.89246     -73.4064      -108.11196       1.1500801
      8.89758     -72.0967      -50.656913       1.5194964
      8.90717     -73.0434      -89.549702       1.1120132
      8.92846     -73.4139      -108.61128       1.1419699
      8.92938     -72.9628      -85.342499       1.1142293
      8.93050     -73.0833      -91.612785       1.1030315
      8.94104     -72.7788      -76.128174       1.1523160
      8.96971     -71.9166      -45.439640       1.6336468
      8.97392     -72.3486      -57.963362       1.3397845
      8.99183     -72.7140      -72.815943       1.1593213
      9.01246     -72.2706      -55.009495       1.3778224
      9.04196     -73.5560      -115.91414       1.1571992
      9.04896     -72.4145      -59.785251       1.2830887
      9.06454     -73.6233      -119.08948       1.1790002
      9.06462     -72.8383      -78.542155       1.1001081
      9.08492     -72.5591      -65.320240       1.1985370
      9.09842     -71.7460      -40.646338       1.7408507
      9.10721     -72.7685      -74.847849       1.1082410
      9.10871     -71.9158      -44.262342       1.6054665
      9.11233     -73.1211      -93.600401       1.0490325
      9.11950     -73.0359      -88.900521       1.0501737
