    RA(°)      Dec      Pos      Distance(kpc)  
      16.0946     -71.3492       32.578143       2.0462599
      16.0768     -71.4014       33.175720       1.9976100
      16.8420     -71.6461       43.162377       1.9328092
      17.1085     -71.6685       45.490830       1.9703204
      16.1887     -71.2407       31.860408       2.1569649
      16.0590     -71.2469       30.945219       2.1316143
      16.4474     -71.2524       33.944090       2.1880078
      16.3211     -71.3098       33.782292       2.1172755
      15.5758     -71.2920       27.624009       2.0212407
      14.9889     -71.3156       22.799098       1.9257049
      14.8707     -71.3214       21.785852       1.9070203
      15.3166     -71.4747       27.693178       1.8185907
      14.9588     -71.3473       22.865391       1.8922596
      14.7539     -71.4097       21.616714       1.8103014
      14.9603     -71.5299       25.050669       1.7211275
      14.6527     -71.6029       22.866360       1.6160103
      15.2692     -71.7225       31.049465       1.5883212
      14.9214     -71.6798       26.777020       1.5775428
      15.4400     -71.8693       35.602236       1.4884516
      15.9385     -71.6567       36.138165       1.7544499
      15.7203     -71.9599       40.440061       1.4644714
      15.5763     -71.8009       35.548115       1.5697621
      15.4004     -71.6912       31.799918       1.6361642
      15.6557     -71.6104       32.826290       1.7472252
      15.2138     -71.4265       26.123724       1.8492246
      15.7270     -71.3930       30.184506       1.9510483
      15.0671     -71.7701       29.799553       1.5158208
      15.0956     -71.5981       27.328140       1.6757397
      15.0104     -71.6763       27.648380       1.5927155
      14.7612     -71.7374       25.946262       1.5035700
      14.9597     -71.7141       27.718115       1.5513132
      14.2733     -71.8560       22.020549       1.3342192
      13.7275     -72.0633       17.488823       1.0812169
      13.6551     -71.9355       14.698259       1.2000508
      14.1755     -72.0553       24.141285       1.1357298
      13.8716     -72.1295       20.925058       1.0316127
      13.5721     -72.1576       16.368874      0.97633156
      13.4648     -72.1362       14.175999      0.98902848
      13.9122     -72.3054       25.657042      0.87160002
      14.6804     -71.8735       27.314377       1.3679301
      14.6291     -71.9962       29.089603       1.2497093
      15.0737     -71.9067       32.495352       1.3959296
      15.1148     -71.9680       34.290122       1.3495413
      14.5574     -72.1045       30.609347       1.1425662
      14.0638     -71.9169       20.194606       1.2541246
      14.3140     -71.9624       24.313546       1.2389769
      14.4878     -71.7173       22.583002       1.4892565
      14.7051     -71.6423       23.945532       1.5850249
      14.6553     -71.6820       23.959852       1.5419275
      14.0126     -71.8404       18.450689       1.3226462
      13.8778     -71.9119       17.570275       1.2412829
      12.7228     -71.9370      0.61058156       1.1617501
      13.5039     -71.8581       11.764967       1.2662298
      13.7397     -71.8997       15.492191       1.2415581
      13.6860     -71.7779       13.497662       1.3573082
      13.6196     -71.7114       12.078673       1.4187148
      13.4690     -71.7095       10.162198       1.4121406
      13.3682     -71.6605       8.6003620       1.4562467
      13.0178     -71.6599       4.2200975       1.4453223
      12.9484     -71.6033       3.2282520       1.5011157
      13.2890     -71.4887       6.8667693       1.6253036
      13.7211     -71.4754       11.584372       1.6590623
      14.1141     -71.4621       15.692213       1.6993753
      14.6230     -71.5219       21.570882       1.6894370
      14.4816     -71.3967       18.837839       1.7950954
      14.3475     -71.4445       17.948405       1.7363842
      14.0547     -71.3437       14.166855       1.8111870
      13.8531     -71.3736       12.328712       1.7680912
      12.3745     -71.4064      -3.3546082       1.7004964
      12.5142     -71.6831      -2.1687674       1.4192224
      13.3108     -71.5365       7.3099403       1.5781472
      12.8545     -71.5851       2.0627206       1.5182186
      12.6995     -71.5923      0.19576498       1.5099747
      12.3878     -71.8637      -4.3022603       1.2389987
      12.4416     -71.8543      -3.4952217       1.2474003
      13.0475     -71.8669       5.3098833       1.2374847
      13.5253     -71.6266       10.315042       1.4976959
      13.1147     -71.4345       4.7541095       1.6747421
      13.2008     -71.3217       5.3674458       1.7905015
      12.7536     -71.4649      0.78982967       1.6388720
      12.8006     -71.2694       1.1877564       1.8365637
      12.6195     -71.0987     -0.59593878       2.0087894
      12.9798     -71.1024       2.7716362       2.0070463
      13.2142     -71.3249       5.5144226       1.7877105
      13.3685     -71.1744       6.6001696       1.9438790
      13.9012     -71.0750       11.131051       2.0675070
      13.6631     -70.9786       8.6253207       2.1517995
      13.8327     -71.0577       10.438280       2.0809899
      13.8268     -70.9334       9.8588781       2.2046482
      13.9602     -70.9160       10.909294       2.2291306
      14.8056     -70.9704       18.204151       2.2380597
