    RA(°)      Dec      Pos      Distance(kpc)  
      14.0876     -75.2974       170.85658       2.2665420
      13.7086     -75.0498       172.33344       2.0035283
      14.6532     -75.1284       166.14468       2.1332393
      15.1418     -75.1875       163.44050       2.2279845
      14.6098     -75.1365       166.49429       2.1381024
      13.8704     -75.3288       172.37032       2.2884919
      15.1389     -75.4772       165.62763       2.5064563
      13.7516     -75.6266       174.04323       2.5825326
      14.5737     -75.8629       170.57945       2.8507601
      14.6947     -75.7805       169.63597       2.7753590
      15.7488     -75.5959       163.22093       2.6685844
      16.7511     -75.6949       159.18258       2.8562261
      16.4074     -76.2346       164.41025       3.3309838
      14.0444     -76.3121       174.30100       3.2786308
      14.6203     -76.0550       171.08245       3.0434162
      16.0634     -75.7767       162.98552       2.8671156
      16.3695     -75.9572       162.85162       3.0643928
      16.7747     -75.5422       157.70755       2.7194855
      17.1007     -76.1702       161.32412       3.3302933
      16.8999     -74.9301       149.79471       2.2002551
      16.8890     -75.4118       155.86039       2.6155919
      16.3622     -75.5304       159.60752       2.6645589
      16.6678     -75.2538       155.26953       2.4482181
      16.7917     -74.9611       150.85976       2.2105548
      16.6156     -74.9488       151.70186       2.1751936
      18.1874     -74.7306       139.75863       2.2642137
      18.9909     -74.7558       136.69404       2.4388561
      19.1853     -74.8749       137.99500       2.5568194
      19.5860     -74.7626       134.52406       2.5655714
      19.1407     -74.8078       137.01739       2.5032571
      17.7199     -75.0529       147.29215       2.4266436
      17.0155     -74.9636       149.64226       2.2453297
      17.6179     -74.8836       145.20314       2.2761472
      17.5567     -75.0511       148.07208       2.3995518
      18.8743     -74.9155       139.92993       2.5247306
      19.5673     -74.6370       132.28587       2.4856073
      19.4768     -74.6386       132.64392       2.4669146
      19.8225     -74.6294       131.24743       2.5371579
      17.7589     -74.8352       143.68735       2.2629667
      18.6748     -75.1715       144.69016       2.6764791
      19.2501     -75.2731       143.81579       2.8518178
      20.0900     -75.2592       140.60407       2.9931628
      19.4206     -74.8807       137.18575       2.6073393
      20.7801     -75.1971       137.49196       3.0844856
      18.6680     -75.3011       146.49391       2.7754203
      19.9215     -75.4888       144.22927       3.1280992
      21.0941     -75.4998       140.65845       3.3462112
      21.5379     -75.7155       142.03732       3.5764262
      19.9373     -75.6954       146.65008       3.2870040
      17.4249     -75.1865       150.57890       2.4914208
      18.8510     -75.2237       144.69979       2.7461184
      20.1648     -75.2775       140.60704       3.0197801
      20.0757     -75.2413       140.39939       2.9780473
      18.4486     -75.1013       144.64029       2.5844638
      21.1811     -75.2978       137.72059       3.2288730
      20.2298     -75.3715       141.67298       3.0976479
      20.5962     -75.1375       137.19002       3.0094404
      20.0929     -75.1564       139.11447       2.9231920
      19.6796     -74.8840       136.28283       2.6616277
      19.6771     -74.9190       136.87469       2.6838148
      20.4008     -75.0180       135.99304       2.8939086
      20.6589     -75.1496       137.17232       3.0297385
      21.7274     -75.0497       132.62372       3.1921033
      20.6568     -74.7379       130.55541       2.7832384
      20.7855     -74.9078       133.03669       2.9076533
      21.6402     -75.0456       132.79145       3.1709627
      21.3447     -75.0531       133.70583       3.1119873
      21.5746     -75.0299       132.72654       3.1478528
      23.1081     -75.6347       137.13614       3.8231873
      23.2441     -75.6588       137.12062       3.8650762
      22.0594     -75.5083       138.10824       3.5366264
      21.8586     -75.4892       138.39018       3.4851044
      21.7877     -75.2061       134.75350       3.2954527
      22.1589     -75.1138       132.47837       3.3214423
      22.8363     -75.2346       132.58907       3.5347884
      22.2296     -74.9620       130.04252       3.2555098
      22.4234     -75.3740       135.44687       3.5271647
      21.7248     -74.8698       129.83448       3.0937448
      21.4485     -74.8947       130.95026       3.0451345
      22.3108     -74.8718       128.45718       3.2283522
      23.3280     -74.9621       127.66582       3.5070740
      23.3349     -74.8984       126.71032       3.4795117
      22.1190     -74.5192       123.03243       3.0229474
      21.8370     -74.4258       121.95125       2.9152977
      20.9545     -74.4736       124.90192       2.7191673
      21.0178     -74.3718       122.78264       2.6897421
      19.8688     -74.6347       131.18864       2.5504072
      20.7410     -74.8435       132.10862       2.8609147
      22.1874     -74.7052       126.05324       3.1202850
      21.8594     -74.7782       128.01633       3.0780350
      21.1359     -74.6787       128.16572       2.8609379
      21.5146     -74.4569       123.22880       2.8482068
