    pmRA(mas/yr)      pmDec      errpmRA      errpmDec      Distance(kpc)      PositionAngle(°)  
      0.60975337     -0.77616787     0.114253     0.172186       2.2665420       170.85658
      0.59408658     -0.80231698    0.0280833    0.0692288       2.0035283       172.33344
      0.62470236     -0.84045719    0.0480271    0.0189194       2.1332393       166.14468
      0.64161081     -0.80724352     0.169024    0.0228117       2.2279845       163.44050
      0.61480058     -0.84291286    0.0797423    0.0465130       2.1381024       166.49429
      0.62232979     -0.79711931    0.0466535    0.0264108       2.2884919       172.37032
      0.60107352     -0.81510569     0.342201     0.138192       2.5064563       165.62763
      0.62584704     -0.83234032    0.0794985     0.188626       2.5825326       174.04323
      0.62139339     -0.78436992     0.329667    0.0532481       2.8507601       170.57945
      0.61547532     -0.80641514     0.136536     0.180035       2.7753590       169.63597
      0.63071635     -0.82737802    0.0781961     0.107916       2.6685844       163.22093
      0.63580011     -0.73053026   0.00474022     0.183527       2.8562261       159.18258
      0.66054764     -0.78335507    0.0140324     0.158332       3.3309838       164.41025
      0.62924362     -0.80951216    0.0231085     0.195598       3.2786308       174.30100
      0.62834886     -0.80332052     0.114702     0.222569       3.0434162       171.08245
      0.65611611     -0.79536015     0.159950     0.169084       2.8671156       162.98552
      0.63088040     -0.81801700     0.119267     0.142495       3.0643928       162.85162
      0.67703586     -0.79203831    0.0236574    0.0358677       2.7194855       157.70755
      0.66325650     -0.75528090     0.152929     0.191780       3.3302933       161.32412
      0.62098755     -0.80949434    0.0484939    0.0151484       2.2002551       149.79471
      0.66082589     -0.77077858    0.0887360     0.188593       2.6155919       155.86039
      0.63745757     -0.81284393    0.0267857 5.32987e-005       2.6645589       159.60752
      0.66042727     -0.80313898     0.162133    0.0934128       2.4482181       155.26953
      0.66413203     -0.77630853     0.105830    0.0526084       2.2105548       150.85976
      0.61315451     -0.83510418    0.0538986    0.0277176       2.1751936       151.70186
      0.71128117     -0.73834380     0.220971     0.239167       2.2642137       139.75863
      0.69868549     -0.76429225    0.0404903    0.0105877       2.4388561       136.69404
      0.67192330     -0.83533385    0.0532205     0.102673       2.5568194       137.99500
      0.71293413     -0.77870515     0.182334    0.0525839       2.5655714       134.52406
      0.70012733     -0.75874351    0.0555017    0.0789184       2.5032571       137.01739
      0.64460003     -0.81481330   0.00815834    0.0448803       2.4266436       147.29215
      0.63757704     -0.79915797     0.330517    0.0233438       2.2453297       149.64226
      0.64128284     -0.84877560    0.0583353     0.179338       2.2761472       145.20314
      0.43940312     -0.75040100     0.116130     0.133095       2.3995518       148.07208
      0.69181694     -0.76223819     0.180586    0.0221809       2.5247306       139.92993
      0.67736585     -0.81141831     0.285405     0.150356       2.4856073       132.28587
      0.65937054     -0.74179939    0.0212577    0.0376313       2.4669146       132.64392
      0.66763335     -0.76658122   0.00911333    0.0258975       2.5371579       131.24743
      0.68439423     -0.77552932    0.0892986    0.0528473       2.2629667       143.68735
      0.65774179     -0.78110198    0.0572451    0.0210892       2.6764791       144.69016
      0.67456634     -0.77216451     0.256300     0.236642       2.8518178       143.81579
      0.67323614     -0.73471721    0.0379546    0.0210853       2.9931628       140.60407
      0.66294660     -0.77447274    0.0255425     0.274901       2.6073393       137.18575
      0.70517226     -0.71003416     0.164580    0.0230034       3.0844856       137.49196
      0.65092224     -0.77559591    0.0388440    0.0925710       2.7754203       146.49391
      0.45714832     -0.69933652    0.0563048    0.0652310       3.1280992       144.22927
      0.69277766     -0.77544815    0.0847362     0.245865       3.3462112       140.65845
      0.72314018     -0.76392846     0.248598     0.342617       3.5764262       142.03732
      0.70557593     -0.78855979     0.158606     0.128937       3.2870040       146.65008
      0.68609803     -0.79405776     0.215394    0.0777297       2.4914208       150.57890
      0.67236307     -0.79155494     0.132150     0.107248       2.7461184       144.69979
      0.69994656     -0.71602242     0.110247     0.111219       3.0197801       140.60704
      0.69789302     -0.79169776    0.0533932    0.0801164       2.9780473       140.39939
      0.67357370     -0.79135517     0.270148     0.252732       2.5844638       144.64029
      0.73385968     -0.79248334    0.0478746    0.0385062       3.2288730       137.72059
      0.71287563     -0.80383601    0.0261012     0.154835       3.0976479       141.67298
      0.72845531     -0.78765466     0.185979    0.0222230       3.0094404       137.19002
      0.71169574     -0.79581236     0.119629   0.00195356       2.9231920       139.11447
      0.69287258     -0.77871417     0.136361    0.0450738       2.6616277       136.28283
      0.68411201     -0.81583404     0.188020    0.0354674       2.6838148       136.87469
      0.71681801     -0.80674318    0.0973846    0.0161542       2.8939086       135.99304
      0.73909688     -0.79741072     0.268947     0.141884       3.0297385       137.17232
      0.74015681     -0.76963481     0.130509   0.00581687       3.1921033       132.62372
      0.72051507     -0.75775377    0.0530957     0.363286       2.7832384       130.55541
      0.71550671     -0.77130913     0.123532     0.113741       2.9076533       133.03669
      0.71375283     -0.78917797     0.177306    0.0182652       3.1709627       132.79145
      0.72065047     -0.77182098     0.189603    0.0494985       3.1119873       133.70583
      0.71982812     -0.72198944     0.281299    0.0587789       3.1478528       132.72654
      0.76106044     -0.72644433     0.175260    0.0524836       3.8231873       137.13614
      0.74822723     -0.74428273    0.0270917    0.0953205       3.8650762       137.12062
      0.72803210     -0.72550824     0.110992    0.0552671       3.5366264       138.10824
      0.74065961     -0.74689648    0.0361004     0.122433       3.4851044       138.39018
      0.75420286     -0.77992561    0.0209297    0.0269907       3.2954527       134.75350
      0.73583350     -0.70962333     0.212342     0.291014       3.3214423       132.47837
      0.71052133     -0.74900106     0.155114    0.0453268       3.5347884       132.58907
      0.75384618     -0.69987462     0.114014     0.103792       3.2555098       130.04252
      0.72323181     -0.70457268    0.0820185     0.190466       3.5271647       135.44687
      0.71006052     -0.74221642    0.0732952     0.127218       3.0937448       129.83448
      0.71240008     -0.71596595   0.00870096    0.0402338       3.0451345       130.95026
      0.71410557     -0.70775316     0.182005     0.124226       3.2283522       128.45718
      0.70050716     -0.72115717     0.109940     0.115427       3.5070740       127.66582
